split_id,model,feature,importance_rmse_increase,importance_rmse_std,baseline_rmse,n_repeats
1,GRU,ret_eurusd,-0.00020925142912852704,2.523427644712721e-05,0.01199160520677097,5
1,GRU,vol_21,9.059495105165732e-05,0.00010105800992458442,0.01199160520677097,5
1,GRU,ma_ratio_21,4.0817024494790506e-05,0.0001330484671594583,0.01199160520677097,5
1,GRU,momentum_21,7.974069839320162e-05,0.00010640586094265901,0.01199160520677097,5
1,GRU,ret_vix,-0.00015260363869553685,4.071251956473287e-05,0.01199160520677097,5
1,GRU,ret_dxy,-0.00025268387496468655,5.522031378457792e-05,0.01199160520677097,5
1,GRU,ret_wti,-0.0009439351350383357,1.988313357799038e-05,0.01199160520677097,5
1,GRU,US10Y,0.00015592264308318915,4.158588626359235e-05,0.01199160520677097,5
1,GRU,EU10Y,-0.0004823717094715102,4.224486673532081e-05,0.01199160520677097,5
1,GRU,spread_10y,-1.3713198911014662e-05,2.232433987413357e-05,0.01199160520677097,5
2,GRU,ret_eurusd,0.00037194276801291796,9.209188823165881e-05,0.008875534719040274,5
2,GRU,vol_21,0.00013044475912501742,4.009140456231483e-05,0.008875534719040274,5
2,GRU,ma_ratio_21,-0.00030303808664427465,0.00014224220918134772,0.008875534719040274,5
2,GRU,momentum_21,-0.0006137652850842088,8.858167868194376e-05,0.008875534719040274,5
2,GRU,ret_vix,-0.00011564849865614916,8.565373501413089e-05,0.008875534719040274,5
2,GRU,ret_dxy,0.0003258203049551888,0.00011456925056070678,0.008875534719040274,5
2,GRU,ret_wti,-0.00016159088970618302,2.746105764766836e-05,0.008875534719040274,5
2,GRU,US10Y,-4.4733803503112925e-06,7.77817740432911e-06,0.008875534719040274,5
2,GRU,EU10Y,7.05228606344907e-06,2.93208990626317e-05,0.008875534719040274,5
2,GRU,spread_10y,7.462896311533212e-05,1.8851053111778924e-05,0.008875534719040274,5
3,GRU,ret_eurusd,-0.00012873667154323,9.399387112176067e-05,0.005148542583464378,5
3,GRU,vol_21,0.0003211467688974675,9.600885219633453e-05,0.005148542583464378,5
3,GRU,ma_ratio_21,-0.0003833407780337748,4.283824493999651e-05,0.005148542583464378,5
3,GRU,momentum_21,0.0006847275562502101,7.386308442778777e-05,0.005148542583464378,5
3,GRU,ret_vix,9.14393268309048e-06,2.0335062131132397e-05,0.005148542583464378,5
3,GRU,ret_dxy,-8.388329773792707e-05,2.4703594404165446e-05,0.005148542583464378,5
3,GRU,ret_wti,-2.9892457221448143e-05,2.3154573687336885e-05,0.005148542583464378,5
3,GRU,US10Y,0.00022251716613959723,3.728016337013512e-05,0.005148542583464378,5
3,GRU,EU10Y,0.0002421882090343051,3.622454179152315e-05,0.005148542583464378,5
3,GRU,spread_10y,-2.312714347981453e-05,2.263065881171211e-05,0.005148542583464378,5
4,GRU,ret_eurusd,4.541298904844719e-05,4.404626837789039e-05,0.0038747115855813107,5
4,GRU,vol_21,0.00021268659111252356,0.00012577127335905872,0.0038747115855813107,5
4,GRU,ma_ratio_21,0.00015506747835041808,5.7207910407906875e-05,0.0038747115855813107,5
4,GRU,momentum_21,-6.856984070795943e-05,4.8204065828445865e-05,0.0038747115855813107,5
4,GRU,ret_vix,-5.335015206101266e-05,4.8820199203772696e-05,0.0038747115855813107,5
4,GRU,ret_dxy,0.0002611606051627638,5.074627006286831e-05,0.0038747115855813107,5
4,GRU,ret_wti,0.00010348323849739627,1.530484149908884e-05,0.0038747115855813107,5
4,GRU,US10Y,0.0026444627210732005,0.00018958987081818087,0.0038747115855813107,5
4,GRU,EU10Y,0.0012263395675762181,0.00019621515953927544,0.0038747115855813107,5
4,GRU,spread_10y,0.0009094701850430678,8.693191411141352e-05,0.0038747115855813107,5
5,GRU,ret_eurusd,6.405948436469626e-05,0.00010247444545636892,0.005055475291069423,5
5,GRU,vol_21,0.00032732957883304986,9.782145547528509e-05,0.005055475291069423,5
5,GRU,ma_ratio_21,0.0013349951856354476,0.00010855763222363182,0.005055475291069423,5
5,GRU,momentum_21,0.0005324531222512382,0.0001870188874169435,0.005055475291069423,5
5,GRU,ret_vix,4.574019226602152e-06,5.447443447790934e-05,0.005055475291069423,5
5,GRU,ret_dxy,0.00012042879763647981,7.402123963451846e-05,0.005055475291069423,5
5,GRU,ret_wti,0.0007508994483882651,0.00014701072584438174,0.005055475291069423,5
5,GRU,US10Y,0.0004972248689850285,3.4709535125783e-05,0.005055475291069423,5
5,GRU,EU10Y,0.00017024629901698872,4.390828087000073e-05,0.005055475291069423,5
5,GRU,spread_10y,0.0006750197832222521,0.00018991814724347774,0.005055475291069423,5
6,GRU,ret_eurusd,6.626896292763612e-05,4.695654954109647e-05,0.004378290250994827,5
6,GRU,vol_21,5.7950681324910565e-05,1.53431290536087e-05,0.004378290250994827,5
6,GRU,ma_ratio_21,-9.736913431454101e-05,1.273747108292158e-05,0.004378290250994827,5
6,GRU,momentum_21,-0.00013922023027793852,9.462079788597249e-05,0.004378290250994827,5
6,GRU,ret_vix,0.00016543498331157927,1.0711243740734748e-05,0.004378290250994827,5
6,GRU,ret_dxy,-0.0005521699289312428,1.9121839735543547e-05,0.004378290250994827,5
6,GRU,ret_wti,0.0002127394668088532,2.3418914651705363e-05,0.004378290250994827,5
6,GRU,US10Y,0.0005830542355847859,5.034985963780561e-05,0.004378290250994827,5
6,GRU,EU10Y,3.6919456822614645e-05,9.646117121547221e-06,0.004378290250994827,5
6,GRU,spread_10y,2.750049065692907e-05,8.170341868675767e-05,0.004378290250994827,5
7,GRU,ret_eurusd,8.819126391619719e-05,6.02910008972032e-05,0.01670196519323296,5
7,GRU,vol_21,6.121290625897696e-05,2.8811056512906516e-05,0.01670196519323296,5
7,GRU,ma_ratio_21,0.00032391355882585777,0.00012728006931988047,0.01670196519323296,5
7,GRU,momentum_21,0.0004701045385954887,6.061586239896149e-05,0.01670196519323296,5
7,GRU,ret_vix,-0.00020018370467026896,3.256300817536219e-05,0.01670196519323296,5
7,GRU,ret_dxy,0.00016995983259420754,2.1135800835779944e-05,0.01670196519323296,5
7,GRU,ret_wti,1.3775977192302668e-05,1.3141639681914135e-05,0.01670196519323296,5
7,GRU,US10Y,-0.0006147765959885296,5.5518913431619276e-05,0.01670196519323296,5
7,GRU,EU10Y,-0.0006540800242158383,4.0835885553753216e-05,0.01670196519323296,5
7,GRU,spread_10y,-0.00014618802891679661,3.613657453442469e-05,0.01670196519323296,5
8,GRU,ret_eurusd,-0.0002542735751081389,1.4704362161387858e-05,0.025567562196858174,5
8,GRU,vol_21,-0.0004421138529378782,5.342960494891329e-05,0.025567562196858174,5
8,GRU,ma_ratio_21,-0.0007584016836407915,3.295523994176195e-05,0.025567562196858174,5
8,GRU,momentum_21,-0.0004925815035469481,4.937077058315317e-05,0.025567562196858174,5
8,GRU,ret_vix,1.3566854014771673e-05,1.578058278651624e-05,0.025567562196858174,5
8,GRU,ret_dxy,1.2697627310986892e-05,1.4167373473109345e-05,0.025567562196858174,5
8,GRU,ret_wti,4.076175845909441e-06,6.621034811241098e-06,0.025567562196858174,5
8,GRU,US10Y,3.738936009900079e-05,6.142135471256426e-05,0.025567562196858174,5
8,GRU,EU10Y,-0.00014278750732732437,1.1934059034921841e-05,0.025567562196858174,5
8,GRU,spread_10y,0.00047327625797619137,5.715397530952028e-05,0.025567562196858174,5
9,GRU,ret_eurusd,0.00025954091516630396,8.895266865372521e-05,0.011840516484233829,5
9,GRU,vol_21,-0.00032463968923473194,3.991123951747305e-05,0.011840516484233829,5
9,GRU,ma_ratio_21,0.00021376873921194508,3.022988424053249e-05,0.011840516484233829,5
9,GRU,momentum_21,0.000796223598369588,0.00010310201854273858,0.011840516484233829,5
9,GRU,ret_vix,6.924769450572937e-05,6.754020710766708e-05,0.011840516484233829,5
9,GRU,ret_dxy,0.0003524884995158524,0.00016080936684519242,0.011840516484233829,5
9,GRU,ret_wti,7.914145053097149e-06,1.8565085591060128e-05,0.011840516484233829,5
9,GRU,US10Y,4.9907827451176406e-05,3.817556956747224e-05,0.011840516484233829,5
9,GRU,EU10Y,1.222460695121802e-05,1.1615205635939359e-05,0.011840516484233829,5
9,GRU,spread_10y,2.3750345348000357e-05,3.2093049230749346e-05,0.011840516484233829,5
10,GRU,ret_eurusd,0.00012458339365613614,6.396400366044876e-05,0.007841652400210288,5
10,GRU,vol_21,0.0032353826810850974,0.0002909535349935239,0.007841652400210288,5
10,GRU,ma_ratio_21,-0.00025609778637870185,3.0017474497636665e-05,0.007841652400210288,5
10,GRU,momentum_21,-0.00017712932269986874,4.365502213257302e-05,0.007841652400210288,5
10,GRU,ret_vix,0.00035118782284928874,0.00016110432352423339,0.007841652400210288,5
10,GRU,ret_dxy,9.136042965316102e-05,3.176136488558981e-05,0.007841652400210288,5
10,GRU,ret_wti,-1.058444731590752e-06,7.238792883430411e-06,0.007841652400210288,5
10,GRU,US10Y,-4.4327164106881985e-05,7.047621880703499e-06,0.007841652400210288,5
10,GRU,EU10Y,-2.884647747457905e-05,8.044310863425235e-06,0.007841652400210288,5
10,GRU,spread_10y,-5.214822067069833e-05,2.961197753513036e-05,0.007841652400210288,5
