Split,Modelo,Años entrenamiento,Años validación,Año test,MAE,RMSE
1,LSTM,2010-2011-2012-2013-2014,2015,2016,0.007713,0.009032
2,LSTM,2011-2012-2013-2014-2015,2016,2017,0.003077,0.003723
3,LSTM,2012-2013-2014-2015-2016,2017,2018,0.005047,0.005969
4,LSTM,2013-2014-2015-2016-2017,2018,2019,0.005316,0.006049
5,LSTM,2014-2015-2016-2017-2018,2019,2020,0.004889,0.006249
6,LSTM,2015-2016-2017-2018-2019,2020,2021,0.003728,0.004684
7,LSTM,2016-2017-2018-2019-2020,2021,2022,0.003854,0.004816
8,LSTM,2017-2018-2019-2020-2021,2022,2023,0.016752,0.01719
9,LSTM,2018-2019-2020-2021-2022,2023,2024,0.008099,0.009243
10,LSTM,2019-2020-2021-2022-2023,2024,2025,0.005983,0.007407
1,GRU,2010-2011-2012-2013-2014,2015,2016,0.009645,0.011992
2,GRU,2011-2012-2013-2014-2015,2016,2017,0.007756,0.008876
3,GRU,2012-2013-2014-2015-2016,2017,2018,0.00448,0.005149
4,GRU,2013-2014-2015-2016-2017,2018,2019,0.002963,0.003875
5,GRU,2014-2015-2016-2017-2018,2019,2020,0.003865,0.005055
6,GRU,2015-2016-2017-2018-2019,2020,2021,0.003524,0.004378
7,GRU,2016-2017-2018-2019-2020,2021,2022,0.014223,0.016702
8,GRU,2017-2018-2019-2020-2021,2022,2023,0.02486,0.025568
9,GRU,2018-2019-2020-2021-2022,2023,2024,0.010217,0.011841
10,GRU,2019-2020-2021-2022-2023,2024,2025,0.006072,0.007842
